KW1	KW2	P.value	adj.P.value	FisherP.value	ztPois.cdf	Raw.CO.Occurrence	Expansion	PMIDlist
antineoplastic agents/pharmacology	tumor-associated macrophages/drug effects	0.0024359773054146	0.0038788378911146	0.102941176470588	0.5011717509037	1	1	[34991659]
antioxidants/pharmacology	biopterins/analogs &amp; derivatives	1.90229000622821e-05	6.33368658790105e-05	0.037037037037037	0.491090027111315	1	0	[32778843]
antioxidants/pharmacology	carbolines/pharmacology	0.0010636503730522	0.0023691137341409	0.074074074074074	0.491090027111315	1	0	[32778843]
antioxidants/pharmacology	cell proliferation/drug effects	1.90229000622821e-05	6.33368658790105e-05	0.037037037037037	0.491090027111315	1	0	[32778843]
antioxidants/pharmacology	cystine/antagonists &amp; inhibitors	1.90229000622821e-05	6.33368658790105e-05	0.037037037037037	0.491090027111315	1	0	[32778843]
antioxidants/pharmacology	dose-response relationship drug	0.0010636503730522	0.0023691137341409	0.074074074074074	0.491090027111315	1	0	[32778843]
antioxidants/pharmacology	folic acid antagonists/pharmacology	1.90229000622821e-05	6.33368658790105e-05	0.037037037037037	0.491090027111315	1	0	[32778843]
antioxidants/pharmacology	gene expression regulation neoplastic	0.000860920973641	0.0020021417991653	0.074074074074074	0.491090027111315	1	0	[32778843]
antioxidants/pharmacology	jurkat cells	0.0012969225227602	0.0028666732591499	0.074074074074074	0.491090027111315	1	0	[32778843]
antioxidants/pharmacology	methotrexate/pharmacology	1.90229000622821e-05	6.33368658790105e-05	0.037037037037037	0.491090027111315	1	0	[32778843]
antioxidants/pharmacology	oxidative stress	0.0005390447313372	0.0013092376221759	0.074074074074074	0.491090027111315	1	0	[32778843]
antioxidants/pharmacology	phospholipid hydroperoxide glutathione peroxidase/antagonists &amp; inhibitors	1.90229000622821e-05	6.33368658790105e-05	0.037037037037037	0.491090027111315	1	0	[32778843]
antioxidants/pharmacology	piperazines/pharmacology	0.0005390447313372	0.0013092376221759	0.074074074074074	0.491090027111315	1	0	[32778843]
antioxidants/pharmacology	reactive oxygen species/metabolism	0.0047751294388702	0.0071792222967029	0.102941176470588	0.5011717509037	1	1	[32778843]
antioxidants/pharmacology	tetrahydrofolate dehydrogenase/genetics	1.90229000622821e-05	6.33368658790105e-05	0.037037037037037	0.491090027111315	1	0	[32778843]
antioxidants/pharmacology	vitamin e/pharmacology	1.90229000622821e-05	6.33368658790105e-05	0.037037037037037	0.491090027111315	1	0	[32778843]
